Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,30.896236419677734,33.62960189509571,25.536998153531204,27.579344583114715,855215656
1,2007-10-08,29.3145751953125,31.94044832271491,29.130302593015134,31.94044832271491,126671715
2,2007-10-09,31.31084442138672,31.58725116900844,27.74825699210877,29.329921759876378,116725709
3,2007-10-10,31.602603912353516,32.24755569269947,31.32619719665519,32.12470664355446,67931378
4,2007-10-11,35.13448715209961,36.85435761863045,31.326205225508645,36.85435761863045,106320954
5,2007-10-12,34.904144287109375,36.209402372050526,34.09027831431998,34.397397863717906,99410791
6,2007-10-15,35.36481857299805,35.84085630609194,35.05769906735355,35.625870985910844,41814972
7,2007-10-16,38.973472595214844,39.587715769413514,35.16519157486226,35.41088551208183,138614496
8,2007-10-17,42.01396942138672,42.996749579138005,32.58539455584572,35.011640490226284,204876259
9,2007-10-18,40.539791107177734,45.89902920857211,38.80456638965236,42.68962807257307,146617799
10,2007-10-19,40.40159225463867,42.04468286821115,38.38995647267717,39.61843481320597,110266491
11,2007-10-22,39.864131927490234,41.107964548184555,38.54351524696544,39.587725141288814,72253405
12,2007-10-23,42.704978942871094,43.088878332590404,40.84690339728464,40.84690339728464,74594921
13,2007-10-24,42.044681549072266,44.07167158046381,41.56864370770731,43.61098805164334,63055170
14,2007-10-25,41.952545166015625,42.93532952042755,37.05398603838048,40.61657411615367,34522489
15,2007-10-26,43.211734771728516,43.90275382462318,41.53793139959775,42.68962982108886,62370025
16,2007-10-29,44.087032318115234,45.14659667422583,43.70313279279638,43.918118193205515,43657697
17,2007-10-30,45.06980514526367,46.28292483305114,43.36528919311174,44.68590571895585,79921711
18,2007-10-31,46.00649642944336,47.019992937309055,45.14656378541193,45.300123483672785,44655368
19,2007-11-01,44.9776725769043,47.49605480409117,44.6091315795245,47.142868119511235,50632492
20,2007-11-02,45.79154586791992,46.0679568666004,42.99675640969912,43.34994731566271,32001693
21,2007-11-05,46.728248596191406,47.75709986456209,45.48441198855212,45.760822900633244,38833135
22,2007-11-06,47.34247970581055,50.33689464847332,46.69752796196826,47.542106535539816,81880281
23,2007-11-07,46.651466369628906,48.893437181041655,45.60726084329386,48.217776741919,33593141
24,2007-11-08,45.85295486450195,47.09679141165494,44.839462121406974,45.45370115736152,27990521
25,2007-11-12,46.95858383178711,47.78780815893321,43.25779130872382,44.47091501592369,35153735
26,2007-11-13,48.07957077026367,49.04699640671284,46.23685368537953,47.757096946638946,43830531
27,2007-11-14,47.44998550415039,49.599822468888014,47.204287351692095,48.92415775659733,36738579
28,2007-11-15,48.24848175048828,49.093060287450655,47.3424776536989,48.34061592465443,29242252
29,2007-11-16,47.910667419433594,49.00094027227761,47.35784967097989,48.033514419453546,18895294
30,2007-11-19,49.645877838134766,51.442527710043244,48.63238517478882,49.000926068017016,40716718
31,2007-11-20,48.87807846069336,50.82828805385533,48.27919378940968,49.44625034988499,26342171
32,2007-11-21,45.06980514526367,49.461612915994934,43.97952827520425,49.169851851346216,26814499
33,2007-11-22,43.51884460449219,46.405771333613096,41.63006044936625,44.59376289048297,34096185
34,2007-11-23,46.4057731628418,46.68217989987701,43.795253056958856,46.375060377487856,27664090
35,2007-11-26,46.774322509765625,48.12564781840213,46.40578151590614,48.12564781840213,20159123
36,2007-11-27,45.622623443603516,47.57283356714766,45.14658977122519,47.57283356714766,20573198
37,2007-11-28,44.94695281982422,46.83574128027682,44.63983328681733,46.62075594094189,16435311
38,2007-11-29,43.73385238647461,46.31365676453906,43.16568016756362,46.067962696371815,25530967
39,2007-11-30,45.42299270629883,45.69939946573559,43.91810775774273,44.5323468523024,18437721
40,2007-12-03,46.06794738769531,46.636119417799065,45.62262235085234,45.97580901856795,16851227
41,2007-12-04,45.46908187866211,46.758986269663616,45.131249379535284,46.3750866491962,14008727
42,2007-12-05,47.28105545043945,47.44997366916836,45.453696985538016,45.54583116624493,27725290
43,2007-12-06,46.4057731628418,49.03164341303903,45.80688842795289,48.30991170230949,24104710
44,2007-12-07,46.20615005493164,47.357848461151725,45.37692970179868,46.697542208034044,11742386
45,2007-12-10,46.25220489501953,46.82037257448293,45.65332027027648,46.65145853446533,8330010
46,2007-12-11,46.037227630615234,46.927873403933276,45.80688799102048,46.66682097927753,11685950
47,2007-12-12,46.00649642944336,46.42110844786235,45.14656378541193,45.45368318193364,16342131
48,2007-12-13,45.23872756958008,46.68219134493263,45.06981345708348,46.06795214956153,14620172
49,2007-12-14,44.79339599609375,45.499773467761344,44.56305633120605,45.08516123784838,10991851
50,2007-12-17,42.09074401855469,45.30014489540296,41.46114645875328,45.05444676270898,19355678
51,2007-12-18,41.90647506713867,43.30386743584714,40.601216902635436,41.61470981119589,21607783
52,2007-12-19,41.138675689697266,43.62634499692779,40.785489023400956,43.25779985305079,19526912
53,2007-12-20,40.72405242919922,42.0139559183003,40.5397799071027,41.67612365538577,17105204
54,2007-12-24,41.967899322509766,42.628205540010306,41.00046938100772,41.33830172839132,16711519
55,2007-12-26,43.24244689941406,43.76455184204467,42.198241179728676,42.198241179728676,20930094
56,2007-12-27,43.549564361572266,44.74732981034145,43.181019223993,44.13309069142642,44565277
57,2007-12-28,43.88740921020508,44.07168183147967,42.99675890164068,43.45743837203876,18354518
58,2007-12-31,44.20988082885742,44.47093334802173,43.67242147522714,44.22523930973566,11982308
59,2008-01-01,45.02373504638672,45.43834727064003,44.02559651216507,44.44020873641839,16687746
60,2008-01-02,44.77803421020508,45.361560430735175,44.11772811419537,45.02372814550991,13437280
61,2008-01-03,46.620750427246094,46.80502295837192,43.96416761403758,44.501626733235966,31815218
62,2008-01-04,46.37505340576172,47.9106507868557,46.06793392954292,47.2964118344181,28011310
63,2008-01-07,45.991172790527344,47.05073291564645,45.49978059534147,46.08330700468512,15858063
64,2008-01-08,44.42485427856445,46.682183789314564,43.88739506960373,46.0372319054466,13282666
65,2008-01-09,43.71847915649414,44.67055063924683,43.610986475839276,44.47092375550248,13113527
66,2008-01-10,42.674278259277344,45.14659352946328,42.38251297412785,43.91811513401471,18023003
67,2008-01-11,43.3192253112793,43.733837555589446,41.614709232576615,43.257799732279395,11629440
68,2008-01-14,43.97953414916992,44.44021352226825,42.704988716713046,43.39600777636055,10264240
69,2008-01-15,42.6435661315918,44.87018325808154,42.290379420505225,44.685914828350256,11558334
70,2008-01-16,41.76826477050781,42.68962336843481,40.708704882236916,42.33643673901118,14834065
